date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week
01/01/2018 02:30,3.78,4.72,0,0,62.51,100,9000,Weekday,Monday
01/01/2018 04:15,3.28,3.82,0,0,65.14,100,15300,Weekday,Monday
01/01/2018 05:45,3.28,3.49,0,0,68.48,100,20700,Weekday,Monday
01/01/2018 10:00,3.64,0,16.88,0,100,21.08,36000,Weekday,Monday
01/01/2018 10:30,3.71,0,18,0,100,20.19,37800,Weekday,Monday
01/01/2018 10:45,3.6,0,16.92,0,100,20.81,38700,Weekday,Monday
01/01/2018 13:00,3.67,0,16.63,0,100,21.55,46800,Weekday,Monday
01/01/2018 15:45,3.6,0,16.81,0,100,20.94,56700,Weekday,Monday
02/01/2018 02:30,3.6,4.36,0,0,63.67,100,9000,Weekday,Tuesday
02/01/2018 03:45,3.24,3.49,0,0,68.04,100,13500,Weekday,Tuesday
02/01/2018 04:00,3.89,4.64,0,0,64.25,100,14400,Weekday,Tuesday
02/01/2018 05:45,3.24,3.42,0,0,68.77,100,20700,Weekday,Tuesday
02/01/2018 12:15,19.22,5.54,18.9,0,96.09,71.3,44100,Weekday,Tuesday
02/01/2018 15:15,86.9,34.27,0,0,93.03,100,54900,Weekday,Tuesday
03/01/2018 05:45,4.57,4.43,0,0,71.8,100,20700,Weekday,Wednesday
03/01/2018 07:15,4.46,4.18,0,0,72.96,100,26100,Weekday,Wednesday
03/01/2018 11:15,57.56,23.9,0,0.03,92.36,100,40500,Weekday,Wednesday
03/01/2018 16:00,68.98,25.81,0,0.03,93.66,100,57600,Weekday,Wednesday
03/01/2018 16:45,118.62,39.06,0,0.05,94.98,100,60300,Weekday,Wednesday
03/01/2018 18:00,73.62,13.25,1.69,0.03,98.42,99.97,64800,Weekday,Wednesday
04/01/2018 00:15,4.61,4.57,0,0,71.02,100,900,Weekday,Thursday
04/01/2018 00:30,4.64,4.57,0,0,71.25,100,1800,Weekday,Thursday
04/01/2018 04:15,4.61,4.72,0,0,69.87,100,15300,Weekday,Thursday
04/01/2018 06:00,4.61,4.54,0,0,71.25,100,21600,Weekday,Thursday
04/01/2018 09:15,136.04,56.7,0,0.06,92.3,100,33300,Weekday,Thursday
04/01/2018 14:15,117.97,41.72,0,0.05,94.28,100,51300,Weekday,Thursday
04/01/2018 14:30,121.93,43.56,0,0.06,94.17,100,52200,Weekday,Thursday
04/01/2018 15:45,138.06,51.8,0,0.06,93.63,100,56700,Weekday,Thursday
05/01/2018 23:00,4.07,4.07,0,0,70.71,100,82800,Weekday,Friday
06/01/2018 15:30,3.42,0,17.42,0,100,19.26,55800,Weekend,Saturday
06/01/2018 18:30,3.24,0,6.23,0,100,46.14,66600,Weekend,Saturday
07/01/2018 05:00,3.38,3.6,0,0,68.45,100,18000,Weekend,Sunday
07/01/2018 12:30,4.1,0,22.46,0,100,17.96,45000,Weekend,Sunday
07/01/2018 14:15,3.6,0,16.74,0,100,21.02,51300,Weekend,Sunday
08/01/2018 07:00,3.38,4.32,0,0,61.62,100,25200,Weekday,Monday
08/01/2018 09:00,114.95,42.34,0,0.05,93.84,100,32400,Weekday,Monday
08/01/2018 13:00,8.75,0,25.7,0,100,32.23,46800,Weekday,Monday
08/01/2018 14:00,121.07,53.42,0,0.06,91.49,100,50400,Weekday,Monday
08/01/2018 20:00,145.3,61.74,0,0.07,92.04,100,72000,Weekday,Monday
09/01/2018 11:00,116.68,43.74,0,0.05,93.64,100,39600,Weekday,Tuesday
09/01/2018 11:30,106.49,55.62,0,0.05,88.64,100,41400,Weekday,Tuesday
09/01/2018 18:45,121.36,49.25,0,0.06,92.66,100,67500,Weekday,Tuesday
09/01/2018 20:45,99.72,25.88,0,0.05,96.79,100,74700,Weekday,Tuesday
10/01/2018 13:15,84.82,31.25,3.02,0.04,93.83,99.94,47700,Weekday,Wednesday
11/01/2018 08:45,116.28,71.78,0,0.05,85.09,100,31500,Weekday,Thursday
11/01/2018 12:45,13.75,0,23.69,0.01,100,50.2,45900,Weekday,Thursday
11/01/2018 21:45,5.18,0,26.5,0,100,19.18,78300,Weekday,Thursday
12/01/2018 01:45,4.79,5.4,0,0,66.36,100,6300,Weekday,Friday
12/01/2018 02:30,4.79,5.22,0,0,67.61,100,9000,Weekday,Friday
12/01/2018 03:45,4.72,4.82,0,0,69.97,100,13500,Weekday,Friday
12/01/2018 06:00,4.72,5.08,0,0,68.07,100,21600,Weekday,Friday
12/01/2018 06:30,4.79,5.04,0,0,68.89,100,23400,Weekday,Friday
12/01/2018 08:00,7.09,4.18,0,0,86.14,100,28800,Weekday,Friday
13/01/2018 15:45,112.39,41.87,0,0.05,93.71,100,56700,Weekend,Saturday
13/01/2018 16:15,79.2,31.9,0,0.04,92.76,100,58500,Weekend,Saturday
13/01/2018 18:00,5.18,0,26.6,0,100,19.11,64800,Weekend,Saturday
13/01/2018 23:15,4.54,3.96,0,0,75.36,100,83700,Weekend,Saturday
13/01/2018 23:30,4.57,3.85,0,0,76.48,100,84600,Weekend,Saturday
14/01/2018 03:30,4.61,4.79,0,0,69.34,100,12600,Weekend,Sunday
14/01/2018 05:45,4.03,3.56,0,0,74.95,100,20700,Weekend,Sunday
14/01/2018 08:45,6.98,7.31,0.25,0,69.06,99.94,31500,Weekend,Sunday
14/01/2018 14:45,29.45,0.11,9.32,0.01,100,95.34,53100,Weekend,Sunday
14/01/2018 16:45,7.09,0,22.25,0,100,30.36,60300,Weekend,Sunday
14/01/2018 21:00,4.97,0,26.96,0,100,18.13,75600,Weekend,Sunday
15/01/2018 02:30,4.57,4.68,0,0,69.86,100,9000,Weekday,Monday
15/01/2018 04:30,4.64,4.57,0,0,71.25,100,16200,Weekday,Monday
15/01/2018 05:00,4.61,4.32,0,0,72.97,100,18000,Weekday,Monday
15/01/2018 08:00,7.02,3.71,0.04,0,88.41,100,28800,Weekday,Monday
15/01/2018 08:45,82.08,78.26,0,0.04,72.37,100,31500,Weekday,Monday
16/01/2018 04:15,4.68,5.83,0,0,62.6,100,15300,Weekday,Tuesday
16/01/2018 07:00,4.64,6.05,0,0,60.86,100,25200,Weekday,Tuesday
16/01/2018 08:30,65.52,51.91,0,0.03,78.38,100,30600,Weekday,Tuesday
16/01/2018 12:45,8.39,0,25.7,0,100,31.03,45900,Weekday,Tuesday
16/01/2018 13:15,77.22,33.77,1.84,0.04,91.62,99.97,47700,Weekday,Tuesday
16/01/2018 14:30,74.95,30.92,0,0.03,92.44,100,52200,Weekday,Tuesday
16/01/2018 16:00,76.14,30.6,0,0.03,92.79,100,57600,Weekday,Tuesday
16/01/2018 20:30,77.98,36.32,0,0.04,90.65,100,73800,Weekday,Tuesday
